a_lyric;a_music;lyric;title
Ángel Villoldo;Ángel Villoldo;De un grano nace la planta que más tarde nos da el choclo por eso de la garganta dijo que estaba humilloso. Y yo como no soy otro más que un tanguero de fama murmuro con alborozo está muy de la banana. Hay choclos que tienen las espigas de oro que son las que adoro con tierna pasión, cuando trabajando llenito de abrojos estoy con rastrojos como humilde peón. De lavada enrubia en largas quedejas contemplo parejas si es como crecer, con esos bigotes que la tierra virgen al noble paisano le suele ofrecer. A veces el choclo asa en los fogones calma las pasiones y dichas de amor, cuando algún paisano lo está cocinando y otro está cebando un buen cimarrón. Luego que la humita está preparada, bajo la enramada se oye un pericón, y junto al alero, de un rancho deshecho surge de algún pecho la alegre canción. ;El choclo (Villoldo)
Francisco Alfredo Marino;Ernesto de la Cruz;"Como con bronca, y junando de rabo de ojo a un costado, sus pasos ha encaminado derecho pa'l arrabal. Lo lleva el presentimiento de que, en aquel potrerito, no existe ya el bulincito que fue su único ideal. Recordaba aquellas horas de garufa cuando minga de laburo se pasaba, meta punguia, al codillo escolaseaba y en los burros se ligaba un metejón; cuando no era tan junao por los tiras, la lanceaba sin tener el manyamiento, una mina le solfeaba todo el vento y jugó con su pasión. Era un mosaico diquero que yugaba de quemera, hija de una curandera, mechera de profesión; pero vivía engrupida de un cafiolo vidalita y le pasaba la guita que le shacaba al matón. Frente a frente, dando muestras de coraje, los dos guapos se trenzaron en el bajo, y el ciruja, que era listo para el tajo, al cafiolo le cobró caro su amor. Hoy, ya libre'e la gayola y sin la mina, campaneando un cachoe sol en la vedera, piensa un rato en el amor de su quemera y solloza en su dolor. ";El ciruja
Reinaldo Yiso;Ángel Cabral;Será tal vez porque soy pobre, muy pobre, que eres así con mi cariño sincero, sin comprender que mi riqueza del alma también es oro que yo te ofrezco. Tal vez tu amor sólo persigue grandezas para adornar tanta belleza sin alma. Todo es igual, como aquel cuento que dice, de los amores de una rosa y un clavel. Un clavelito triste vivía por uno rosa se consumía, pero la rosa coqueta y mala a una estrellita chiquitita solo amaba. Pasa en la vida, como en las flores, todos tenemos penas y amores, la misma pena del clavelito por tu desprecio siento aquí en el corazón. Era un jardín todo cubierto de flores, con su jazmín y margaritas muy blancas, con un clavel entre rojizos malvones, con azucenas, rosas y dalias. Y en el jardín enamorada vivía la rosa té de una estrellita lejana sin comprender que el clavelito la amaba y suspiraba de tristeza por su amor. ;El clavelito
Eladia Blázquez;Eladia Blázquez;Nací en un barrio donde el lujo fue un albur, por eso tengo el corazón mirando al sur. Mi viejo fue una abeja en la colmena, las manos limpias, el alma buena... Y en esa infancia, la templanza me forjó, después la vida mil caminos me tendió, y supe del magnate y del tahúr, por eso tengo el corazón mirando al sur. Mi barrio fue una planta de jazmín, la sombra de mi vieja en el jardín, la dulce fiesta de las cosas más sencillas y la paz en la gramilla de cara al sol. Mi barrio fue mi gente que no está, las cosas que ya nunca volverán, si desde el día en que me fui con la emoción y con la cruz, ¡yo sé que tengo el corazón mirando al sur! La geografía de mi barrio llevo en mí, será por eso que del todo no me fui: la esquina, el almacén, el piberío... lo reconozco... son algo mío... Ahora sé que la distancia no es real y me descubro en ese punto cardinal, volviendo a la niñez desde la luz teniendo siempre el corazón mirando al sur. ;El corazón al sur
María Elena Walsh;María Elena Walsh;Te acordás, hermana, qué tiempos aquellos... la vida nos daba la misma lección, en la primavera del cuarenta y cinco tenías quince años lo mismo que yo. Te acordás, hermana, de aquellos cadetes... el primer bolero y el té en el Galeón, cuando los domingos la lluvia traía la voz de Bing Crosby y un verso de amor. Te acordás de la Plaza de Mayo cuando el que te dije salía al balcón... tanto cambió todo que el sol de la infancia de golpe y porrazo se nos alunó. Te acordás, hermana, qué tiempos de seca... cuando un pobre peso daba el estirón y al pagarnos toda una edad de rabonas valía más vida que un millón de hoy. Te acordás, hermana, que desde muy lejos un olor a espanto nos enloqueció.... era de Hiroshima donde tantas chicas tenían quince años como vos y yo. Te acordás que más tarde la vida vino en tacos altos y nos separó... ya no compartimos el mismo tranvía, sólo nos reúne la buena de Dios. ;El cuarenta y cinco
Enrique Cadícamo;Enrique Cadícamo;"Yo soy Prudencio Navarro, el cuarteador de Barracas. Tengo un pingo que en el barro cualquier carro tira y saca. Overo de anca partida, que en un trabajo de cuarta de la zanja siempre aparta ¡Chiche! la rueda que se ha quedao. Yo que tanta cuarta di, yo que a todos los prendí a la cincha de mi percherón, hoy ,que el carro de mi amor se me encajó, no hay uno que pa' mi tenga un tirón. En la calle del querer el amor de una mujer en un bache hundió mi corazón... ¡Hoy, ni mi overo me saca de este profundo zanjón! Yo soy Prudencio Navarro, el cuarteador de Barracas. Cuando ve mi overo un carro compadreando se le atraca. No hay carga que me lo achique, porque mi chuzo es valiente; yo lo llamo suavemente ¡Chiche! Y el pingo pega el tirón. (Música firmada con el seudónimo Rosendo Luna.) ";El cuarteador
Horacio Ferrer;Astor Piazzolla;Por su pinta poeta de gorrión con gomina, por su voz que es un gato sobre ocultos platillos, los enigmas del vino le acarician los ojos y un dolor le perfuma la solapa y los astros. Grita el águila taura que se posa en sus dedos convocando a los hijos en la cresta del sueño: ¡a llorar como el viento, con las lágrimas altas!, ¡a cantar como el pueblo, por milonga y por llanto! Del brazo de un arcángel y un malandra se van con sus anteojos de dos charcos, a ver por quién se afligen las glicinas, Pichuco de los puentes en silencio. Por gracia de morir todas las noches jamás le viene justa muerte alguna, jamás le quedan flojas las estrellas, Pichuco de la misa en los mercados. ¿De qué Shakespeare lunfardo se ha escapado este hombre que un fósforo ha visto la tormenta crecida, que camina derecho por atriles torcidos, que organiza glorietas para perros sin luna? No habrá nunca un porteño tan baqueano del alba, con sus árboles tristes que se caen de parado. ¿Quién repite esta raza, esta raza de uno, pero, quién la repite con trabajos y todo? Por una aristocracia arrabalera, tan sólo ha sido flaco con él mismo. También el tiempo es gordo, y no parece, Pichuco de las manos como patios. Y ahora que las aguas van más calmas y adentro de su fueye cantan pibes, recuerde y sueñe y viva, gordo lindo, amado por nosotros. Por nosotros. ;El Gordo triste
Enrique Cadícamo (milonga);Ángel D'Agostino;"(Recitado) Viejo café cincuentón que por la Boca existía, allá por Olavarría esquina Almirante Brown. Se estremeció de emoción tu despacho de bebidas con las milongas sentidas de Gabino y de Cazón. En tus mesas escucharon los reseros de Tablada provocativas payadas que en cien duelos terminaron. Histórico bodegón del priorato y del Trinchieri, donde una noche Cafieri entró a copar la reunión. Traía un dúo de cantores y haciendo, orgulloso, punta dijo: ""Aquí traigo una yunta que cantando hace primores"". (Recitado) Y con acento cordial fue diciendo medio chocho: ""Este mozo es el Morocho y éste Pepe el Oriental"". Un aplauso general al dúo fue saludando y el Morocho iba templando lo mismo que el Oriental. (Recitado) Templaron con alegría sus instrumentos a fondo, y el silencio era tan hondo que ni las moscas se oían. Y entre aplausos, vino y chopes, y esta vuelta yo la pago, iba corriendo el halago tendido a todo galope. (Recitado) ""A mi madre"", ""La pastora"", ""El moro"" y otras canciones golpeaban los corazones con voces conmovedoras. Ah, café de aquel entonces de la calle Olavarría, donde de noche caía allá por el año once... De cuando yo, en mi arrabal, de bravo tuve cartel. Y el Morocho era Gardel y Razzano el Oriental. Música: Ángel D'Agostino Letra: Enrique Cadícamo ";El Morocho y el Oriental
Ángel Villoldo;Ángel Villoldo;"Soy hijo de Buenos Aires, por apodo ""El porteñito"", el criollo más compadrito que en esta tierra nació. Cuando un tango en la vigüela rasguea algún compañero no hay nadie en el mundo entero que baile mejor que yo. No hay ninguno que me iguale para enamorar mujeres, puro hablar de pareceres, puro filo y nada más. Y al hacerle la encarada la fileo de cuerpo entero asegurando el puchero con el vento que dará. Soy el terror del malevaje cuando en un baile me meto, porque a ninguno respeto de los que hay en la reunión. Y si alguno se retoba y viene haciéndose el guapo lo mando de un castañazo a buscar quien lo engrupió. Cuando el vento ya escasea le formo un cuento a mi china que es la paica más ladina que pisó el barrio del sur. Y como caído del cielo entra el níquel al bolsillo y al compás de un organillo bailo el tango a su ""salú"". ";El Porteñito
Carlos Pesce;Ángel Villoldo;Cuando se habla de esta época, compadre, sabrán del taco militar y del Massera. Dirán ¡Ah, tiempos del ayer, quién los viviera! ¡Qué pintoresco fue Buenos Aires! De los taitas de cambrona con trensilla saldrán a relucir hazañas de guapeadas, y de las grelas de percal enfaroladas se harán las mentas en la tierra en que nací. He nacido en Buenos Aires se me apoda el Porteñito, no tolero los desaires de matones y compadritos. Sé florearme en el piropo con las paicas más diqueras y me gusta entrar al copo del honor en la amistad. En los bailes del Victoria, El Tambito y lo de Laura, me lucí entre los tauras emulando al Cachafaz. Mozo bravo y bailarin tengo fama de trovero, y en las noches de verbena siempre salgo echando buena con la reina del festín. Del tranvía de caballos trotadores y del farol y el organito callejero con fiel imagen el recuerdo hablará un día de estas lindezas que tanto quiero. Y en la historia de esta era floreciente verán que Dios hizo el milagro de esta tierra de paz de amor y de trabajo, noblemente, orgullo inmenso de mi criollo corazón. ;El Porteñito (Pesce)
Manuel Romero / Luis Bayón Herrera;José Padilla;"Era un malevo buen mozo de melena recortada; las minas le cortejaban pero él las trataba mal. Era altivo y le llamaban el Taita del Arrabal. Pero un día la milonga lo arrastró para perderlo: usó corbatita y cuello, se emborrachó con pernot, y hasta el tango arrabalero a la francesa bailó. La linda vida antigua por otra abandonó y cuando acordarse quiso perdido se encontró. Pobre Taita, muchas noches, bien dopado de morfina, atorraba en una esquina campaniao por un botón. Y el que antes daba envidia ahora daba compasión. Hasta que al salir de un baile, después de una champagnada, la mujer que acompañaba con un taura se encontró. Relucieron los bufosos y el pobre Taita cayó. Y así, una noche oscura, tuvo un triste final aquel a quien le llamaban el Taita del Arrabal. ";El Taita del Arrabal
Francisco Canaro;Francisco Canaro;"Picao de viruela, bastante morocho, encrespao el pelo lo mismo que mota un hondo barbijo a su cara rota, le daba un aspecto de taita matón. De carácter hosco, bien fornido y fuerte afrontó el peligro cual bravo titán, jamás tuvo miedo ni aún ante la muerte porque era muy hombre ""El Tigre Millán"" Pobre Tigre que una noche en Puente Alsina dos cobardes lo mataron a traición. Era guapo, de esos guapos más temidos que la punta desgarrante de un facón. Mala suerte, pobre Tigre, siempre tuvo en cuestiones de escolazos y de amor. Pues no era bien parecido y fatalmente metido con la mujer que adoró, nunca fue correspondido y ella al fin lo traicionó. Cuentan que una noche, bramó como fiera en un entrevero, que hasta hoy se comenta. Repartiendo hachazos, ¡era una tormenta! Mostró su coraje venciendo a un malón. ¡Parece mentira, que hombres de tu laya mueran siempre en manos de un ruin cobardón! ¡Hoy la muchachada, Tigre, te recuerda y aquella culpable llora su traición. ";El Tigre Millán
 Rene Ruiz Letra: Dualberto Marquez;Rene Ruiz Letra: Dualberto Marquez;"Le corro con mi manchao al alazán de Cirilo, y no le pido ni un kilo, como le dio al colorao. Nicasio de abanderao y como juez, Don Zenón a correr desde el portón hasta allí, hasta el esquinero, y me juego hasta el apero y empeño hasta mi facón. No respeto, caballeros, estado, pelo ni marca, y al de la estancia 'e Las Arcas le pueden bajar los cueros. No me asustan parejeros con tapa ni con trompeta pués no es el primer sotreta que aquí en la esquina 'e Las Latas le hice revolear las patas y también largar la jeta. Aceptan y desensilla, dejando sobre el apero botas, facón y sombrero, y hace vincha su golilla; va de la cancha a la orilla en vez de un rebenque dos con la Fe puesta en su Dios cual legítima Esperanza pa' llegar a la balanza a igualar sesenta y dos Le tocó un rosillo moro marca de Hilarión Contreras que había ganao más carreras que'l colorao sangre'e toro. Lo montaba un mozo Floro muy buen corredor campero visteador y ventajero pa'largar en la bandera pues lo había quien le saliera siempre picaba primero El otro fue un mocetón que se sintió desafiar y que cargo pa'igualar medio kilo 'e munición lo rodeaban un montón que hacian fuerza pa'su lado y palmeaban al manchado al par del andarivel como si vieran en él un triunfo ya descontado. Y pa'que seguir narrando lo que fue aquella carrera, si cualquier hombre de afuera ya lo estara calculando. Anduvieron mañereando, errar y errar la partida, hasta que en una corrida les bajó el abanderao y el rocillo y en manchado fueron una luz prendida. Y se sintió: ¡Ya pegaron! y la cosa jue pareja, ni se sacaban la oreja y los rebenques bajaron. Y cuando al final pasaron entre el público y rayero entre aplausos y sombreros que se agitaban de gozo, el juez grito sentencioso: ¡Puesta nomás, caballeros! ";El desafío
Alfredo Le Pera (canción);Carlos Gardel;Acaricia mi ensueño el suave murmullo de tu suspirar, ¡como ríe la vida si tus ojos negros me quieren mirar! Y si es mío el amparo de tu risa leve que es como un cantar, ella aquieta mi herida, ¡todo, todo se olvida..! El día que me quieras la rosas que engalana se vestirá de fiesta con su mejor color. Al viento las campanas dirán que ya eres mía y locas las fontanas me contarán tu amor. La noche que me quieras desde el azul del cielo, las estrellas celosas nos mirarán pasar y un rayo misterioso hará nido en tu pelo, luciérnaga curiosa que verá...¡que eres mi consuelo..! Recitado: El día que me quieras no habrá más que armonías, será clara la aurora y alegre el manantial. Traerá quieta la brisa rumor de melodías y nos darán las fuentes su canto de cristal. El día que me quieras endulzará sus cuerdas el pájaro cantor, florecerá la vida, no existirá el dolor... La noche que me quieras desde el azul del cielo, las estrellas celosas nos mirarán pasar y un rayo misterioso hará nido en tu pelo, luciérnaga curiosa que verá... ¡que eres mi consuelo! ;El día que me quieras
Enrique Dizeo;Osvaldo Pugliese;Me llaman El Encopao los que no saben lo que me ha pasao y me ven hecho un cualquiera... ¡Que digan lo que digan, que ya no me hace mella! Me llaman El Encopao como si el que anda así pierde el honor y no piensan que el que mata su rabia entre unas copas tiene su razón. ¡Total, qué le importa a ella que viva como yo vivo! Siempre metido en el boliche de esa esquina que ha dejado de ser linda por su olvido. ¡Total, qué le importa a ella que viva como yo vivo! Mareado de caña y de recuerdos, noche y día, día y noche, por su vida que es mi amor. Me dicen El Encopao y no es mentira que voy mal rumbeao... ¡Todo por una morocha que me marcó una güeya de penas y de sombras! Me llaman El Encopao pero conmigo nadie va a jugar porque los hombres se encuentran y entonces cara a cara hay que corajear. ;El encopao
Homero Expósito;Rosendo Mendizábal;Sabrán que soy el Entrerriano, que soy milonguero y provinciano, que soy también un poquito compadrito y aguanto el tren de los guapos con tajitos. Y en el vaivén de algún tango de fandango, como el querer voy metiéndome hasta el mango, que pa'l baile y pa'l amor sabrán que soy siempre el mejor. ¿Ven, no ven lo que es bailar así, llevándola juntito a mí como apretando el corazón?... ¿Ven, no ven lo que es llevarse bien en las cortadas del querer y en la milonga del amor?... Todo corazón para el amor me dio la vida y alguna herida de vez en vez, para saber lo peor. Todo corazón para bailar haciendo cortes y al Sur y al Norte sulen gritar que el Entrerriano es el gotán. ;El entrerriano (Expósito)
Carlos Pesce / Antonio Polito;Ángel Villoldo;Nada me importa de tu amor, golpeá nomás... el corazón me dijo, que tu amor fue una falsía, aunque juraste y juraste que eras mía. No llames más, no insistas más, yo te daré... el libro del recuerdo, para que guardes las flores del olvido porque vos lo has querido el esquinazo yo te doy. Fue por tu culpa que he tomado otro camino sin tino... Vida mía. Jamás pensé que llegaría este momento que siento, la más terrible realidad... Tu ingratitud me ha hecho sufrir un desencanto si tanto... te quería. Mas no te creas que por esto guardo encono Perdono tu más injusta falsedad. ;El esquinazo
Rodolfo Taboada (milonga);Mariano Mores;"¿Quién fue el raro bicho que te ha dicho, che pebete que pasó el tiempo del firulete? Por más que ronquen los merengues y las congas siempre fue tiempo para milonga. Vos dejá nomás que algún chabón chamuye al cuete y sacudile tu firulete, que desde el cerebro al alma la milonga lo bordó. Es el compás criollo y se acabó. Pero escuchá, fijate bien, prestale mucha atención y ahora batí si hay algo igual a este compás compadrón. Batí, por Dios, si este compás repicadito y dulzón te burbujea en la piel y te hace mas querendón. Pero escuchá... fijate bien, prestale mucha atención. Y ahora batí si este compás no es un clavel reventón; es el clavel, es el balcón, es el percal, el arrabal, el callejón, y es el loco firulete de algún viejo metejón. ";El firulete
Enrique Cadícamo;Juan Maglio;"Yo... soy pa' el amor muy blando y a la mujer pa' conquistarla yo le hago ver de cuando en cuando que hay que llorar pa' enamorarla... Hoy... me dicen los muchachos: ""Qué hacés, llorón... que no se diga"", pero a mi qué... si el que más liga yo bien sé que es el llorón... (coro) Llorón... (solo) No me preocupa lo que digan... (coro) Llorón... (solo) A veces llora el que más liga .. (coro) Llorón... (solo) La circunstancia es la que obliga y siempre... siempre primero yo... (coro) Llorón... (solo) Yo pa' llorar soy un artista... (coro) Llorón... (solo) No hay una que se me resista... y siempre... siempre primero yo... Soy... el Picaflor del Norte, m'e diplomao haciendo cortes. Por diversión yo tallo y rompo y pa' bailar soy como trompo... A ninguna me le achico... Les canto ""Flor"", me juego entero... Soy pa'l amor ""jarabe 'e pico""... ¡Hacerse a un lao... que paso yo!... ";El llorón
Homero Expósito;Armando Pontier;Nos habían suicidado los errores del pasado, corazón... y latías -rama seca- como late en la muñeca mi reloj. Y gritábamos unidos lo terrible del olvido sin razón, con la muda voz del yeso, sin la gracia de otro beso ni la suerte de otro error. Y anduvimos sin auroras suicidados... pero ahora, por milagro, regreso. Y otra vez, corazón, te han herido... Pero amar es vivir otra vez. Y hoy he visto que en los árboles hay nidos y noté que en mi ventana hay un clavel. ¡Para qué recordar las tristezas! ¡Presentir y dudar, para qué! Si es amor, corazón, y regresa, hay que darse el amor como ayer. Sabes bien que mi locura fue quererla sin mesura ni control. Y si al fin ella deseara que te mate, te matara, corazón. Para qué gritar ahora que la duda me devora. ¡Para qué, si la tengo aquí a mi lado y la quiero demasiado, demasiado más que ayer! Hoy nos ha resucitado porque Dios sabe el pasado y el milagro pudo ser. ;El milagro
Pascual Contursi;Juan Carlos Cobián;Mina que fue en otro tiempo la más papa milonguera y en esas noches tangueras fue la reina del festín. Hoy no tiene pa' ponerse ni zapatos ni vestidos, anda enferma y el amigo no aportó para el bulín. Ya no tienen sus ojazos esos fuertes resplandores y en su cara los colores se le ven palidecer. Está enferma, sufre y llora y manya con sentimiento de que así, enferma y sin vento más naide la va a querer. Pobre paica que ha tenido a la gente rechiflada y supo con la mirada conquistar una pasión. Hoy no tiene quien se arrime por cariño a su catrera. ¡Pobre paica arrabalera que quedó sin corazón! Y cuando de los bandoneones se oyen las notas de un tango, pobre florcita de fango siente en su alma vibrar las nostalgias de otros tiempos de placeres y de amores, ¡hoy sólo son sinsabores que la invitan a llorar! ;El motivo (Pobre paica)
Cátulo Castillo;Mariano Mores;Patio de la morocha que allá en el tiempo tuvo frescor de sombras como el alero. Sobre tu piso pobre ladrillos viejos, junto a mi pecho triste sus ojos negros diciendo adiós, diciendo adiós ... Con el recuerdo de este tango vuelvo a verla. Con el recuerdo de este tango juguetón que me habla de ella. Tal vez el patio y el cedrón que me llamaba y su carita de ilusión que se asomaba. Y en el jirón de alguna linda medialuna, su cara bruna que me miraba... Feliz paisaje de vida que duele como una herida. Pobre retazo de sueño que acaso no tenga dueño. Si estaba el alma en pedazos, cómo ingratos sus ojazos cuanto más amor pidieron se me fueron... ¡Muchacha criolla del tiempo aquel! Tango dulzón y orillero que al corazón le reprocha, cruel, la ausencia de la morocha y el viejo patio que quiero... Sobre tu piso pobre, ladrillos viejos. Junto a mi pecho triste, sus ojos negros diciendo adiós, diciendo adiós... ;El patio de la Morocha
Gabino Coria Peñaloza;Juan de Dios Filiberto;"El pañuelito blanco que te ofrecí, bordado con mi pelo, fue para ti; lo has despreciado y en llanto empapado lo tengo ante mí. Lejos cantaba un ave, mi dulce bien, cuando me abandonaste no sé por quién, y hasta el pañuelo rodó por el suelo de ver tu desdén. Con este pañuelo sufrió el corazón, con este pañuelo perdí una ilusión, con este pañuelo llegó el día cruel que tú me dejaste gimiendo con él. el fiel pañuelito conmigo sufrió, El fiel pañuelito conmigo quedó, el fiel pañuelito conmigo ha de ir el día que acabe mi lento sufrir. Este pañuelito fue compañero de dolor; cuántas veces lo besé por aquel perdido amor. Bordado en él tu nombre está y lo llevo siempre aquí cuánta pena que me da recordándome de ti. La tarde estaba triste cuando te vi y cuando de tu boca temblando oí que no me amabas y que te alejabas por siempre de mí. El noble pañuelito en mi penar ha sido confidente de mi pesar y acaso impida que nunca en la vida te pueda olvida. ";El pañuelito
" Agustín Magaldi / Pedro 
Noda Letra: Carlos Pesce";"Agustín Magaldi / Pedro 
Noda Letra: Carlos Pesce";"En una celda oscura del presidio lejano el penado catorce su vida terminó; dicen los compañeros que el pobre presidiario murió haciendo señas y nadie lo entendió. En una noche fría que el preso deliraba su mueca tan extraña dio mucho que pensar y sin embargo, nadie, de tantos carceleros, se acercó a la celda del que no pudo hablar. Dejó una carta escrita, con frases tan dolientes, que un viejo presidiario al leerla conmovió... al mismo fratricida con alma tenebrosa que en toda su existencia amor nunca sintió. En la carta decía: ""Ruego al juez de turno, que traigan a mi madre, le pido por favor, pues antes de morirme quisiera darle un beso en la arrugada frente de mi primer amor"". Y en la celda sombría del lejano presidio su vida miserable el penado entregó... El último recuerdo, el nombre de la madre, y su acento tan triste el viento lo llevó... ";El penado catorce
Homero Manzi;Sebastián Piana;Yunta oscura trotando en la noche. Latigazo de alarde burlón. Compadreando de gris sobre el coche por las piedras de Constitución. En la zurda amarrada la rienda, amansó al colorao redomón. Y, como él, se amansaron cien prendas bajo el freno de su pretensión. ¡Vamos!... cargao con sombra y recuerdo. ¡Vamos!... atravesando el pasado. ¡Vamos!... al son de tu tranco lerdo ¡Vamos!... camino al tiempo olvidado. Vamos por viejas rutinas, tal vez de una esquina nos llame René. Vamos que en sus aventuras viví una locura de amor y suissé. Tungo flaco tranqueando en la tarde sin aliento al chirlazo cansao. Fracasado en su último alarde bajo el sol de la calle Callao. Despintado el alón del sombrero ya ni silba la vieja canción, pues no quedan ni amor ni viajeros para el coche de su corazón. ;El pescante
Enrique Cadícamo;Guillermo Barbieri;¡Che, Pepino, levantate 'e la catrera, que se ha roto la tijera de cortar el bacalao. ¿Qué te has creído? ¿Qué dormís pa' que yo cinche? ¡Andá a buscar otro guinche si tenés sueño pesao! ¡Guarda, que te cacha el porvenir! ¡Ojo, que hoy anda el vento a la rastra y el que tiene guita, lastra, y el que no, se hace faquir! ¿Querés que me deschave y diga quién sos vos? ¡Vos sos, che, vagoneta, el que atrasó el reloj! ¿Con qué herramienta te ganás la vida? ¿Con qué ventaja te ponés mi ropa? ¡Se me acabó el reparto e' salvavidas! Cachá esta onda: ¡se acabó la sopa! ¡A ver si cobrás un poco impulso, pa' que esta vida de ojo no se alargue! ¡Ya estoy en llanta de llevarte a pulso, buscate un changador pa' que te cargue! Si hasta creo que naciste de un carozo... ¡Sos más frío que un bufoso! ¡Ya no te puedo aguantar! En la sangre me pusiste una bombilla, y hoy me serruchás la silla cuando me quiero sentar. ¡De esta ya no te salva ni el gong! ¡Guarda, que se me pianta la fiera! Levantate 'e la catrera, que voy a quemar el colchón. ;El que atrasó el reloj
Roberto Barboza;Luis Cluzeau Mortet;"Ya no solo el verdulero con su canto matinal, que nos despierta ofreciendo, su mercancía especial. Hoy lo imita el quinielero con su promesa temprana, diciendo que hay ""vento""fresco tres veces a la semana. En su pregón el vocero dice con tono formal. ¡Quinielero! Patrona, ¿quiere jugar?... Hoy en Córdoba tenemos y mañana en Tucumán, y para desquite el viernes se juega la nacional... Yo tanto lo llevo al cráneo redoblona o escalera, apúntese un numerito y verá como es primera. Si usted me acierta, le juro patrona, que va a cobrar, porque mi capitalista es ventudo y es bacán. Un forastero del norte se levantó un capital (cuando salió el cero siete) pucha que nos tuvo mal. Y todavía hay gilastros que nos tiran a embocar, sabiendo que es juego noble ¡que es industria nacional! Y si no embocan ¡qué importa! Yo les digo la verdad... ¡Ilusiones! y alguna vez realidá, y por último el consuelo de aquel refrán decidor: ""El que anda mal en el juego no erra una en el amor..."" ";El quinielero
Manuel Romero (canción);Gerardo Matos Rodríguez;Al pie de un rosal florido me hiciste tu juramento. Al pie de un rosal florido me hiciste tu juramento. Pero el rosal se secó, marchitado por el viento, marchitado por el viento y tu amor por el olvido. Y con las notas de mi canción hoy por vos llora mi corazón. Fueron tus manos divinas la causa de mis dolores. Fueron tus manos divinas la causa de mis dolores. Pues del rosal de mi amor vos te llevaste las flores, vos te llevaste las flores dejándome las espinas. Y con las notas de mi canción hoy por vos llora mi corazón. ;El rosal
Domingo Lombardi (gato);Santiago Rocca;"Ya el sol del veinticinco viene asomando, ya el sol del veinticinco viene asomando y su luz en el Plata va reflejando, y su luz en el Plata va reflejando. (recitado) ¿Oído? Ya lo anuncia la voz del cañón, icemos a tope nuestro pabellón. Y las campanas mezclan sus alborotos al de las dianas. ""¡Viva la Patria!"" se oye y el clamoreo, ""¡Viva la Patria!"" se oye y el clamoreo, hace dentrar en la sangre cierto hormigueo, hace dentrar en la sangre cierto hormigueo. (recitado) Al pueblo y al gauchaje hace el entusiasmo temblar de coraje. Y hasta parece que la estatua 'e Belgrano se estremeciese. Al blanco y al celeste de tu bandera, al blanco y al celeste de tu bandera, contempló victoriosa la cordillera, contempló victoriosa la cordillera. (recitado) A traerte laureles cruzaron los Andes San Martín, Las Heras, Soler y otros grandes. Y ya, paisanos, fueron libres los pueblos americanos. ";El sol del veinticinco
 Juan Puey Letra: Reinaldo Yiso;Juan Puey Letra: Reinaldo Yiso;"Golpearon la puerta de la humilde casa, la voz del cartero muy clara se oyó, y el pibe corriendo con todas sus ansias al perrito blanco sin querer pisó. ""Mamita, mamita"" se acercó gritando; la madre extrañada dejo el piletón y el pibe le dijo riendo y llorando: ""El club me ha mandado hoy la citación."" Mamita querida, ganaré dinero, seré un Baldonedo, un Martino, un Boyé; dicen los muchachos de Oeste Argentino que tengo más tiro que el gran Bernabé. Vas a ver que lindo cuando allá en la cancha mis goles aplaudan; seré un triunfador. Jugaré en la quinta después en primera, yo sé que me espera la consagración Dormía el muchacho y tuvo esa noche el sueño más lindo que pudo tener; El estadio lleno, glorioso domingo por fin en primera lo iban a ver. Faltando un minuto están cero a cero; tomó la pelota, sereno en su acción, gambeteando a todos se enfrentó al arquero y con fuerte tiro quebró el marcador. ";El sueño del pibe
Silverio Manco;Alfredo Eusebio Gobbi;"Soy el taita de Barracas, de aceitada melenita y francesa planchadita cuando me quiero lucir. Si me topan me defiendo con mi larga fariñela y me lo dejo al parnela como carne de embutir. Y si se trata de alguna mina, la meneguina me hago ligar. Y si resiste en aflojar, con cachetiarla me la va a dar. Si tratan de convencerme tiempo al ñudo perderán, pues yo voy donde las dan porque soy el más tigrero. Soy amante de trifulcas que me arman en los fondines, pero son los meneguines que me ponen altanero. Se llama Elvira la paica mía y día a día da lindo espor, y yo me paso calaveriando y desechando mi sinsabor. Soy el taita más ladino, fachinero y compadrito. Soy el rubio Francisquito de chambergo y un plastón. Soy cantor y no reculo ni me achico al más pesado, porque siempre yo he peleado con el tipo mas malón. También he sido un habitante fiel y constante de la prisión, porque soy taita de las camadas y doy trompadas a discreción. Ni aunque venga una partida de cincuenta chaferolas con las negras cacerolas y el machete a relucir no me entrego si no dejo unos cuantos pataleando, y otros dejarlos zumbando que por fuerza han de morir. Yo de natura soy muy nervioso y laborioso para escabiar. Siendo de arriba me gusta mucho. Me tienen chucho para peliar. Si alguna vez en la calle algún tipo me provoca, le digo: Yo no soy Roca; soy Francisquito el cantor. Si quiere peliar conmigo me lo llevo a la cortada y le doy una trompada de truco, retruco y flor. Y si protesta, con otro viento todo el tormento le hago pasar, porque soy taita de los morrudos y a todos mudos hago quedar. ";El taita
